goos: darwin
goarch: arm64
pkg: erl
cpu: Apple M4 Pro
BenchmarkDispatch/routes=500/case=static/router=erl-14        	 5905959	        60.73 ns/op	     320 B/op	       1 allocs/op
BenchmarkDispatch/routes=500/case=static/router=erl-14        	 5952852	        59.61 ns/op	     320 B/op	       1 allocs/op
BenchmarkDispatch/routes=500/case=static/router=erl-14        	 6027861	        60.06 ns/op	     320 B/op	       1 allocs/op
BenchmarkDispatch/routes=500/case=static/router=erl-14        	 5922139	        61.20 ns/op	     320 B/op	       1 allocs/op
BenchmarkDispatch/routes=500/case=static/router=erl-14        	 5888474	        60.49 ns/op	     320 B/op	       1 allocs/op
BenchmarkDispatch/routes=500/case=param/router=erl-14         	 2097361	       171.4 ns/op	     656 B/op	       3 allocs/op
BenchmarkDispatch/routes=500/case=param/router=erl-14         	 2099208	       171.2 ns/op	     656 B/op	       3 allocs/op
BenchmarkDispatch/routes=500/case=param/router=erl-14         	 2094188	       171.7 ns/op	     656 B/op	       3 allocs/op
BenchmarkDispatch/routes=500/case=param/router=erl-14         	 2069014	       181.5 ns/op	     656 B/op	       3 allocs/op
BenchmarkDispatch/routes=500/case=param/router=erl-14         	 2086128	       172.9 ns/op	     656 B/op	       3 allocs/op
BenchmarkDispatch/routes=500/case=param/router=erl-14         	 2079724	       176.0 ns/op	     656 B/op	       3 allocs/op
BenchmarkDispatch/routes=500/case=param/router=erl-14         	 2011666	       175.7 ns/op	     656 B/op	       3 allocs/op
BenchmarkDispatch/routes=500/case=param/router=erl-14         	 2071086	       174.7 ns/op	     656 B/op	       3 allocs/op
BenchmarkDispatch/routes=500/case=param/router=erl-14         	 2035683	       175.3 ns/op	     656 B/op	       3 allocs/op
BenchmarkDispatch/routes=500/case=param/router=erl-14         	 2085840	       172.1 ns/op	     656 B/op	       3 allocs/op
BenchmarkDispatch/routes=500/case=two_params/router=erl-14    	 1952263	       184.2 ns/op	     656 B/op	       3 allocs/op
BenchmarkDispatch/routes=500/case=two_params/router=erl-14    	 1939155	       185.0 ns/op	     656 B/op	       3 allocs/op
BenchmarkDispatch/routes=500/case=two_params/router=erl-14    	 1947990	       185.1 ns/op	     656 B/op	       3 allocs/op
BenchmarkDispatch/routes=500/case=two_params/router=erl-14    	 1949928	       185.8 ns/op	     656 B/op	       3 allocs/op
BenchmarkDispatch/routes=500/case=two_params/router=erl-14    	 1941998	       185.5 ns/op	     656 B/op	       3 allocs/op
BenchmarkDispatch/routes=500/case=two_params/router=erl-14    	 1956456	       187.9 ns/op	     656 B/op	       3 allocs/op
BenchmarkDispatch/routes=500/case=two_params/router=erl-14    	 1886562	       189.2 ns/op	     656 B/op	       3 allocs/op
BenchmarkDispatch/routes=500/case=two_params/router=erl-14    	 1935655	       186.6 ns/op	     656 B/op	       3 allocs/op
BenchmarkDispatch/routes=500/case=two_params/router=erl-14    	 1770285	       197.6 ns/op	     656 B/op	       3 allocs/op
BenchmarkDispatch/routes=500/case=two_params/router=erl-14    	 1915839	       188.3 ns/op	     656 B/op	       3 allocs/op
BenchmarkDispatch/routes=500/case=catchall/router=erl-14      	 2089591	       172.6 ns/op	     656 B/op	       3 allocs/op
BenchmarkDispatch/routes=500/case=catchall/router=erl-14      	 2083608	       172.8 ns/op	     656 B/op	       3 allocs/op
BenchmarkDispatch/routes=500/case=catchall/router=erl-14      	 1999701	       176.7 ns/op	     656 B/op	       3 allocs/op
BenchmarkDispatch/routes=500/case=catchall/router=erl-14      	 2089894	       172.6 ns/op	     656 B/op	       3 allocs/op
BenchmarkDispatch/routes=500/case=catchall/router=erl-14      	 2082456	       172.6 ns/op	     656 B/op	       3 allocs/op
